Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,25
2.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,50
3.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,75
4.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,100
5.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,125
6.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,150
7.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,175
8.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,200
9.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,225
10.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,250
11.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,275
12.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,300
13.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,325
14.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,350
15.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,375
16.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,400
17.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,425
18.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,450
19.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,475
20.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,500
21.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,525
22.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,550
23.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,575
24.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,600
25.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,625
26.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,650
27.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,675
28.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,700
29.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,725
30.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,750
31.0000,5.6320,11,5,AODV,25.0000,1.0000,0.0146,947
32.0000,9.7280,30,5,AODV,25.0000,0.9677,0.0073,1111
33.0000,10.2400,50,5,AODV,25.0000,0.9804,0.0048,1217
34.0000,10.2400,70,5,AODV,25.0000,0.9859,0.0051,1598
35.0000,10.2400,90,5,AODV,25.0000,0.9890,0.0044,1759
36.0000,8.7040,107,5,AODV,25.0000,0.9640,0.0044,2088
37.0000,10.7520,128,5,AODV,25.0000,0.9771,0.0157,2250
