Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
2.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
3.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
4.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,531
5.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
6.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
7.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
8.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
9.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,642
10.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
11.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
12.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
13.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
14.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
15.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,722
16.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1084
17.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1084
18.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1084
19.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1123
20.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1199
21.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1232
22.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1244
23.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1256
24.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1317
25.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1344
26.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1352
27.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1354
28.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1368
29.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1407
30.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1422
31.0000,3.5840,7,5,DSDV,25.0000,0.6364,0.0067,1839
32.0000,11.2640,29,5,DSDV,25.0000,0.9355,0.0811,1883
33.0000,10.2400,49,5,DSDV,25.0000,0.9608,0.0483,1921
34.0000,10.2400,69,5,DSDV,25.0000,0.9718,0.0347,2009
35.0000,10.2400,89,5,DSDV,25.0000,0.9780,0.0270,2092
36.0000,10.2400,109,5,DSDV,25.0000,0.9820,0.0222,2148
37.0000,10.2400,129,5,DSDV,25.0000,0.9847,0.0189,2189
38.0000,10.2400,149,5,DSDV,25.0000,0.9868,0.0164,2246
39.0000,10.2400,169,5,DSDV,25.0000,0.9883,0.0146,2303
40.0000,10.2400,189,5,DSDV,25.0000,0.9895,0.0131,2346
41.0000,10.2400,209,5,DSDV,25.0000,0.9905,0.0119,2384
42.0000,10.2400,229,5,DSDV,25.0000,0.9913,0.0109,2423
43.0000,10.2400,249,5,DSDV,25.0000,0.9920,0.0101,2469
44.0000,10.2400,269,5,DSDV,25.0000,0.9926,0.0094,2510
45.0000,10.2400,289,5,DSDV,25.0000,0.9931,0.0088,2554
46.0000,9.7280,308,5,DSDV,25.0000,0.9904,0.0090,2945
47.0000,10.7520,329,5,DSDV,25.0000,0.9940,0.0121,2983
48.0000,10.2400,349,5,DSDV,25.0000,0.9943,0.0115,3017
49.0000,10.2400,369,5,DSDV,25.0000,0.9946,0.0109,3117
50.0000,10.2400,389,5,DSDV,25.0000,0.9949,0.0104,3205
51.0000,10.2400,409,5,DSDV,25.0000,0.9951,0.0099,3270
52.0000,10.2400,429,5,DSDV,25.0000,0.9954,0.0095,3309
53.0000,10.2400,449,5,DSDV,25.0000,0.9956,0.0091,3353
54.0000,10.2400,469,5,DSDV,25.0000,0.9958,0.0087,3402
55.0000,10.2400,489,5,DSDV,25.0000,0.9959,0.0084,3453
56.0000,10.2400,509,5,DSDV,25.0000,0.9961,0.0081,3489
57.0000,10.2400,529,5,DSDV,25.0000,0.9962,0.0078,3519
58.0000,10.2400,549,5,DSDV,25.0000,0.9964,0.0075,3549
59.0000,10.2400,569,5,DSDV,25.0000,0.9965,0.0073,3583
60.0000,10.2400,589,5,DSDV,25.0000,0.9966,0.0071,3618
61.0000,9.7280,608,5,DSDV,25.0000,0.9951,0.0074,4029
62.0000,10.2400,628,5,DSDV,25.0000,0.9952,0.0071,4053
63.0000,10.2400,648,5,DSDV,25.0000,0.9954,0.0069,4084
64.0000,10.2400,668,5,DSDV,25.0000,0.9955,0.0067,4160
65.0000,10.2400,688,5,DSDV,25.0000,0.9957,0.0066,4240
66.0000,10.2400,708,5,DSDV,25.0000,0.9958,0.0064,4291
67.0000,10.2400,728,5,DSDV,25.0000,0.9959,0.0062,4330
68.0000,10.2400,748,5,DSDV,25.0000,0.9960,0.0061,4374
69.0000,9.7280,767,5,DSDV,25.0000,0.9948,0.0059,4421
70.0000,8.1920,783,5,DSDV,25.0000,0.9899,0.0058,4452
71.0000,8.1920,799,5,DSDV,25.0000,0.9852,0.0057,4478
72.0000,8.1920,815,5,DSDV,25.0000,0.9807,0.0056,4502
73.0000,8.1920,831,5,DSDV,25.0000,0.9765,0.0055,4526
74.0000,6.6560,844,5,DSDV,25.0000,0.9690,0.0054,4550
75.0000,6.1440,856,5,DSDV,25.0000,0.9607,0.0054,4574
76.0000,9.2160,874,5,DSDV,25.0000,0.9594,0.0055,4974
77.0000,6.6560,887,5,DSDV,25.0000,0.9527,0.0054,5002
78.0000,6.1440,899,5,DSDV,25.0000,0.9453,0.0054,5036
79.0000,8.1920,915,5,DSDV,25.0000,0.9423,0.0053,5107
80.0000,6.1440,927,5,DSDV,25.0000,0.9354,0.0052,5188
81.0000,6.1440,939,5,DSDV,25.0000,0.9288,0.0052,5261
82.0000,6.1440,951,5,DSDV,25.0000,0.9224,0.0051,5314
83.0000,6.1440,963,5,DSDV,25.0000,0.9163,0.0051,5369
84.0000,6.1440,975,5,DSDV,25.0000,0.9104,0.0050,5418
85.0000,6.1440,987,5,DSDV,25.0000,0.9047,0.0049,5460
86.0000,6.1440,999,5,DSDV,25.0000,0.8992,0.0049,5496
87.0000,6.1440,1011,5,DSDV,25.0000,0.8939,0.0048,5537
88.0000,6.1440,1023,5,DSDV,25.0000,0.8888,0.0048,5580
89.0000,6.1440,1035,5,DSDV,25.0000,0.8839,0.0047,5619
90.0000,6.1440,1047,5,DSDV,25.0000,0.8791,0.0047,5656
91.0000,6.1440,1059,5,DSDV,25.0000,0.8745,0.0048,5984
92.0000,9.2160,1077,5,DSDV,25.0000,0.8749,0.0068,6029
93.0000,9.2160,1095,5,DSDV,25.0000,0.8753,0.0068,6087
94.0000,10.2400,1115,5,DSDV,25.0000,0.8773,0.0066,6189
95.0000,10.2400,1135,5,DSDV,25.0000,0.8792,0.0065,6274
96.0000,10.2400,1155,5,DSDV,25.0000,0.8810,0.0064,6349
97.0000,10.2400,1175,5,DSDV,25.0000,0.8828,0.0063,6422
98.0000,10.2400,1195,5,DSDV,25.0000,0.8845,0.0062,6483
99.0000,9.2160,1213,5,DSDV,25.0000,0.8848,0.0062,6541
100.0000,7.1680,1227,5,DSDV,25.0000,0.8821,0.0061,6592
101.0000,6.1440,1239,5,DSDV,25.0000,0.8781,0.0060,6633
102.0000,4.6080,1248,5,DSDV,25.0000,0.8721,0.0060,6666
103.0000,4.0960,1256,5,DSDV,25.0000,0.8656,0.0060,6703
104.0000,3.0720,1262,5,DSDV,25.0000,0.8579,0.0059,6732
105.0000,2.0480,1266,5,DSDV,25.0000,0.8491,0.0059,6763
106.0000,8.7040,1283,5,DSDV,25.0000,0.8491,0.0059,7144
107.0000,10.7520,1304,5,DSDV,25.0000,0.8517,0.0066,7183
108.0000,10.2400,1324,5,DSDV,25.0000,0.8536,0.0065,7249
109.0000,10.2400,1344,5,DSDV,25.0000,0.8555,0.0065,7338
