Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,25
2.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,50
3.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,75
4.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,100
5.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,125
6.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,150
7.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,175
8.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,200
9.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,225
10.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,250
11.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,275
12.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,300
13.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,325
14.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,350
15.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,375
16.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,400
17.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,425
18.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,450
19.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,475
20.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,500
21.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,525
22.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,550
23.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,575
24.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,600
25.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,625
26.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,650
27.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,675
28.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,700
29.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,725
30.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,750
31.0000,3.0720,6,5,AODV,25.0000,0.5455,0.0038,876
32.0000,11.2640,28,5,AODV,25.0000,0.9032,0.0863,967
33.0000,10.2400,48,5,AODV,25.0000,0.9412,0.0506,1033
34.0000,10.2400,68,5,AODV,25.0000,0.9577,0.0359,1093
35.0000,10.2400,88,5,AODV,25.0000,0.9670,0.0278,1146
36.0000,10.2400,108,5,AODV,25.0000,0.9730,0.0228,1199
37.0000,10.2400,128,5,AODV,25.0000,0.9771,0.0193,1252
