Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
2.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
3.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
4.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,531
5.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
6.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
7.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
8.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
9.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,642
10.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
11.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
12.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
13.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
14.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,684
15.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,726
16.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1115
17.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1115
18.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1115
19.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1152
20.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1216
21.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1237
22.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1249
23.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1266
24.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1295
25.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1310
26.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1315
27.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1316
28.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1325
29.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1352
30.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1385
31.0000,5.6320,11,5,DSDV,25.0000,1.0000,0.0168,1861
32.0000,10.2400,31,5,DSDV,25.0000,1.0000,0.0064,1893
33.0000,10.2400,51,5,DSDV,25.0000,1.0000,0.0041,1926
34.0000,10.2400,71,5,DSDV,25.0000,1.0000,0.0032,2001
35.0000,10.2400,91,5,DSDV,25.0000,1.0000,0.0027,2084
36.0000,10.2400,111,5,DSDV,25.0000,1.0000,0.0023,2128
37.0000,10.2400,131,5,DSDV,25.0000,1.0000,0.0020,2161
38.0000,10.2400,151,5,DSDV,25.0000,1.0000,0.0018,2198
39.0000,10.2400,171,5,DSDV,25.0000,1.0000,0.0017,2254
40.0000,10.2400,191,5,DSDV,25.0000,1.0000,0.0016,2300
41.0000,10.2400,211,5,DSDV,25.0000,1.0000,0.0015,2333
42.0000,10.2400,231,5,DSDV,25.0000,1.0000,0.0014,2364
43.0000,10.2400,251,5,DSDV,25.0000,1.0000,0.0013,2395
44.0000,10.2400,271,5,DSDV,25.0000,1.0000,0.0013,2441
45.0000,10.2400,291,5,DSDV,25.0000,1.0000,0.0012,2475
46.0000,8.1920,307,5,DSDV,25.0000,0.9871,0.0026,2894
47.0000,11.2640,329,5,DSDV,25.0000,0.9940,0.0095,2940
48.0000,10.2400,349,5,DSDV,25.0000,0.9943,0.0090,2977
49.0000,10.2400,369,5,DSDV,25.0000,0.9946,0.0085,3057
50.0000,10.2400,389,5,DSDV,25.0000,0.9949,0.0081,3125
51.0000,10.2400,409,5,DSDV,25.0000,0.9951,0.0077,3182
52.0000,10.2400,429,5,DSDV,25.0000,0.9954,0.0074,3228
53.0000,10.2400,449,5,DSDV,25.0000,0.9956,0.0071,3281
54.0000,10.2400,469,5,DSDV,25.0000,0.9958,0.0068,3320
55.0000,10.2400,489,5,DSDV,25.0000,0.9959,0.0066,3359
56.0000,10.2400,509,5,DSDV,25.0000,0.9961,0.0063,3399
57.0000,10.2400,529,5,DSDV,25.0000,0.9962,0.0061,3433
58.0000,10.2400,549,5,DSDV,25.0000,0.9964,0.0059,3486
59.0000,10.2400,569,5,DSDV,25.0000,0.9965,0.0057,3523
60.0000,10.2400,589,5,DSDV,25.0000,0.9966,0.0056,3553
61.0000,10.2400,609,5,DSDV,25.0000,0.9967,0.0060,3934
62.0000,10.2400,629,5,DSDV,25.0000,0.9968,0.0059,3966
63.0000,10.2400,649,5,DSDV,25.0000,0.9969,0.0057,4038
64.0000,10.2400,669,5,DSDV,25.0000,0.9970,0.0056,4130
65.0000,10.2400,689,5,DSDV,25.0000,0.9971,0.0054,4218
66.0000,10.2400,709,5,DSDV,25.0000,0.9972,0.0053,4267
67.0000,10.2400,729,5,DSDV,25.0000,0.9973,0.0052,4326
68.0000,10.2400,749,5,DSDV,25.0000,0.9973,0.0050,4370
69.0000,10.2400,769,5,DSDV,25.0000,0.9974,0.0049,4409
70.0000,10.2400,789,5,DSDV,25.0000,0.9975,0.0048,4445
71.0000,10.2400,809,5,DSDV,25.0000,0.9975,0.0047,4479
72.0000,10.2400,829,5,DSDV,25.0000,0.9976,0.0046,4509
73.0000,10.2400,849,5,DSDV,25.0000,0.9976,0.0045,4547
74.0000,10.2400,869,5,DSDV,25.0000,0.9977,0.0044,4578
75.0000,10.2400,889,5,DSDV,25.0000,0.9978,0.0043,4607
76.0000,7.6800,904,5,DSDV,25.0000,0.9923,0.0046,4992
77.0000,11.2640,926,5,DSDV,25.0000,0.9946,0.0070,5044
78.0000,10.2400,946,5,DSDV,25.0000,0.9947,0.0069,5096
79.0000,10.2400,966,5,DSDV,25.0000,0.9949,0.0067,5193
80.0000,10.2400,986,5,DSDV,25.0000,0.9950,0.0066,5263
81.0000,10.2400,1006,5,DSDV,25.0000,0.9951,0.0065,5306
82.0000,10.2400,1026,5,DSDV,25.0000,0.9952,0.0064,5360
83.0000,10.2400,1046,5,DSDV,25.0000,0.9952,0.0062,5403
84.0000,10.2400,1066,5,DSDV,25.0000,0.9953,0.0061,5442
85.0000,10.2400,1086,5,DSDV,25.0000,0.9954,0.0060,5484
86.0000,10.2400,1106,5,DSDV,25.0000,0.9955,0.0059,5517
87.0000,10.2400,1126,5,DSDV,25.0000,0.9956,0.0058,5542
88.0000,10.2400,1146,5,DSDV,25.0000,0.9957,0.0057,5567
89.0000,10.2400,1166,5,DSDV,25.0000,0.9957,0.0057,5595
90.0000,10.2400,1186,5,DSDV,25.0000,0.9958,0.0056,5624
91.0000,9.2160,1204,5,DSDV,25.0000,0.9942,0.0058,6033
92.0000,10.2400,1224,5,DSDV,25.0000,0.9943,0.0057,6059
93.0000,10.2400,1244,5,DSDV,25.0000,0.9944,0.0056,6098
94.0000,10.2400,1264,5,DSDV,25.0000,0.9945,0.0055,6180
95.0000,10.2400,1284,5,DSDV,25.0000,0.9946,0.0054,6250
96.0000,10.2400,1304,5,DSDV,25.0000,0.9947,0.0053,6314
97.0000,10.2400,1324,5,DSDV,25.0000,0.9947,0.0053,6354
98.0000,10.2400,1344,5,DSDV,25.0000,0.9948,0.0052,6393
99.0000,10.2400,1364,5,DSDV,25.0000,0.9949,0.0051,6429
100.0000,10.2400,1384,5,DSDV,25.0000,0.9950,0.0051,6462
101.0000,10.2400,1404,5,DSDV,25.0000,0.9950,0.0050,6494
102.0000,10.2400,1424,5,DSDV,25.0000,0.9951,0.0049,6521
103.0000,10.2400,1444,5,DSDV,25.0000,0.9952,0.0049,6547
104.0000,10.2400,1464,5,DSDV,25.0000,0.9952,0.0048,6576
105.0000,10.2400,1484,5,DSDV,25.0000,0.9953,0.0048,6601
106.0000,9.2160,1502,5,DSDV,25.0000,0.9940,0.0048,6963
107.0000,10.7520,1523,5,DSDV,25.0000,0.9948,0.0054,6999
108.0000,10.2400,1543,5,DSDV,25.0000,0.9948,0.0054,7087
109.0000,10.2400,1563,5,DSDV,25.0000,0.9949,0.0053,7173
