Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
2.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
3.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
4.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
5.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
6.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
7.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
8.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
9.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
10.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
11.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
12.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
13.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
14.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
15.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
16.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
17.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
18.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
19.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
20.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
21.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
22.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
23.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
24.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
25.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
26.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
27.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
28.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
29.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
30.0000,0.0000,0,5,DSR,25.0000,0.0000,0.0000,0
31.0000,6.1440,12,5,DSR,25.0000,0.9231,0.0082,67
32.0000,10.7520,33,5,DSR,25.0000,1.0000,0.0053,131
33.0000,10.2400,53,5,DSR,25.0000,1.0000,0.0035,159
34.0000,10.2400,73,5,DSR,25.0000,1.0000,0.0027,187
35.0000,10.2400,93,5,DSR,25.0000,1.0000,0.0023,215
36.0000,10.2400,113,5,DSR,25.0000,1.0000,0.0020,243
37.0000,10.2400,133,5,DSR,25.0000,1.0000,0.0018,271
38.0000,10.2400,153,5,DSR,25.0000,1.0000,0.0016,299
39.0000,10.2400,173,5,DSR,25.0000,1.0000,0.0015,327
40.0000,10.2400,193,5,DSR,25.0000,1.0000,0.0014,355
41.0000,10.2400,213,5,DSR,25.0000,1.0000,0.0013,383
42.0000,10.2400,233,5,DSR,25.0000,1.0000,0.0012,411
43.0000,10.2400,253,5,DSR,25.0000,1.0000,0.0012,439
44.0000,10.2400,273,5,DSR,25.0000,1.0000,0.0012,467
45.0000,9.7280,292,5,DSR,25.0000,0.9966,0.0012,532
46.0000,10.2400,312,5,DSR,25.0000,0.9968,0.0011,560
47.0000,10.2400,332,5,DSR,25.0000,0.9970,0.0011,588
48.0000,10.2400,352,5,DSR,25.0000,0.9972,0.0011,616
49.0000,10.2400,372,5,DSR,25.0000,0.9973,0.0010,644
50.0000,10.2400,392,5,DSR,25.0000,0.9975,0.0010,672
51.0000,10.2400,412,5,DSR,25.0000,0.9976,0.0010,700
52.0000,10.2400,432,5,DSR,25.0000,0.9977,0.0010,728
53.0000,10.2400,452,5,DSR,25.0000,0.9978,0.0010,756
54.0000,10.2400,472,5,DSR,25.0000,0.9979,0.0009,784
55.0000,10.2400,492,5,DSR,25.0000,0.9980,0.0009,812
56.0000,10.2400,512,5,DSR,25.0000,0.9981,0.0009,840
57.0000,10.2400,532,5,DSR,25.0000,0.9981,0.0009,868
58.0000,10.2400,552,5,DSR,25.0000,0.9982,0.0009,896
59.0000,10.2400,572,5,DSR,25.0000,0.9983,0.0009,924
60.0000,10.2400,592,5,DSR,25.0000,0.9983,0.0009,952
61.0000,10.2400,612,5,DSR,25.0000,0.9984,0.0009,980
62.0000,10.2400,632,5,DSR,25.0000,0.9984,0.0008,1008
63.0000,10.2400,652,5,DSR,25.0000,0.9985,0.0008,1036
64.0000,10.2400,672,5,DSR,25.0000,0.9985,0.0008,1064
