Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,25
2.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,50
3.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,75
4.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,100
5.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,125
6.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,150
7.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,175
8.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,200
9.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,225
10.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,250
11.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,275
12.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,300
13.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,325
14.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,350
15.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,375
16.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,400
17.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,425
18.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,450
19.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,475
20.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,500
21.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,525
22.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,550
23.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,575
24.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,600
25.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,625
26.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,650
27.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,675
28.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,700
29.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,725
30.0000,0.0000,0,5,AODV,25.0000,0.0000,0.0000,750
31.0000,5.6320,11,5,AODV,25.0000,1.0000,0.0027,796
32.0000,10.2400,31,5,AODV,25.0000,1.0000,0.0012,841
33.0000,10.2400,51,5,AODV,25.0000,1.0000,0.0008,886
34.0000,8.1920,67,5,AODV,25.0000,0.9437,0.0007,1018
35.0000,6.1440,79,5,AODV,25.0000,0.8681,0.0007,1165
36.0000,6.1440,91,5,AODV,25.0000,0.8198,0.0006,1232
37.0000,7.6800,106,5,AODV,25.0000,0.8092,0.0011,1443
