Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
2.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
3.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,530
4.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,531
5.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
6.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
7.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
8.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,608
9.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,652
10.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,681
11.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,681
12.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,681
13.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,681
14.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,701
15.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,772
16.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1166
17.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1166
18.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1166
19.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1186
20.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1271
21.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1319
22.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1321
23.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1329
24.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1353
25.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1381
26.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1388
27.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1390
28.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1392
29.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1398
30.0000,0.0000,0,5,DSDV,25.0000,0.0000,0.0000,1411
31.0000,5.6320,11,5,DSDV,25.0000,1.0000,0.0051,1756
32.0000,10.2400,31,5,DSDV,25.0000,1.0000,0.0020,1776
33.0000,10.2400,51,5,DSDV,25.0000,1.0000,0.0017,1814
34.0000,8.1920,67,5,DSDV,25.0000,0.9437,0.0014,1883
35.0000,6.1440,79,5,DSDV,25.0000,0.8681,0.0012,1953
36.0000,6.1440,91,5,DSDV,25.0000,0.8198,0.0011,2022
37.0000,6.1440,103,5,DSDV,25.0000,0.7863,0.0010,2057
38.0000,6.1440,115,5,DSDV,25.0000,0.7616,0.0010,2109
39.0000,6.1440,127,5,DSDV,25.0000,0.7427,0.0009,2175
40.0000,6.1440,139,5,DSDV,25.0000,0.7277,0.0009,2217
41.0000,6.1440,151,5,DSDV,25.0000,0.7156,0.0008,2246
42.0000,6.1440,163,5,DSDV,25.0000,0.7056,0.0008,2272
43.0000,6.1440,175,5,DSDV,25.0000,0.6972,0.0008,2296
44.0000,6.1440,187,5,DSDV,25.0000,0.6900,0.0007,2332
45.0000,6.1440,199,5,DSDV,25.0000,0.6838,0.0007,2363
46.0000,9.7280,218,5,DSDV,25.0000,0.7010,0.0011,2700
47.0000,10.2400,238,5,DSDV,25.0000,0.7190,0.0011,2732
48.0000,10.2400,258,5,DSDV,25.0000,0.7350,0.0011,2764
49.0000,9.7280,277,5,DSDV,25.0000,0.7466,0.0010,2844
50.0000,8.1920,293,5,DSDV,25.0000,0.7494,0.0011,2934
51.0000,8.1920,309,5,DSDV,25.0000,0.7518,0.0010,3027
52.0000,7.1680,323,5,DSDV,25.0000,0.7494,0.0010,3083
53.0000,6.1440,335,5,DSDV,25.0000,0.7428,0.0010,3127
54.0000,6.1440,347,5,DSDV,25.0000,0.7367,0.0010,3174
55.0000,6.1440,359,5,DSDV,25.0000,0.7312,0.0009,3224
56.0000,6.1440,371,5,DSDV,25.0000,0.7260,0.0009,3268
57.0000,6.1440,383,5,DSDV,25.0000,0.7213,0.0009,3300
58.0000,8.1920,399,5,DSDV,25.0000,0.7241,0.0009,3329
59.0000,8.1920,415,5,DSDV,25.0000,0.7268,0.0009,3360
60.0000,8.1920,431,5,DSDV,25.0000,0.7293,0.0008,3399
61.0000,8.1920,447,5,DSDV,25.0000,0.7316,0.0011,3749
62.0000,8.1920,463,5,DSDV,25.0000,0.7338,0.0010,3773
63.0000,8.1920,479,5,DSDV,25.0000,0.7358,0.0010,3806
64.0000,9.2160,497,5,DSDV,25.0000,0.7407,0.0010,3885
65.0000,10.2400,517,5,DSDV,25.0000,0.7482,0.0010,3978
66.0000,10.2400,537,5,DSDV,25.0000,0.7553,0.0010,4047
67.0000,10.2400,557,5,DSDV,25.0000,0.7620,0.0009,4091
68.0000,10.2400,577,5,DSDV,25.0000,0.7683,0.0009,4144
69.0000,10.2400,597,5,DSDV,25.0000,0.7743,0.0009,4202
70.0000,10.2400,617,5,DSDV,25.0000,0.7800,0.0009,4245
71.0000,10.2400,637,5,DSDV,25.0000,0.7855,0.0009,4278
72.0000,8.7040,654,5,DSDV,25.0000,0.7870,0.0009,4311
73.0000,8.1920,670,5,DSDV,25.0000,0.7873,0.0009,4345
74.0000,8.1920,686,5,DSDV,25.0000,0.7876,0.0009,4380
75.0000,8.1920,702,5,DSDV,25.0000,0.7879,0.0008,4412
76.0000,6.1440,714,5,DSDV,25.0000,0.7838,0.0010,4729
77.0000,9.2160,732,5,DSDV,25.0000,0.7863,0.0041,4762
78.0000,9.7280,751,5,DSDV,25.0000,0.7897,0.0041,4825
79.0000,10.2400,771,5,DSDV,25.0000,0.7940,0.0040,4895
80.0000,10.2400,791,5,DSDV,25.0000,0.7982,0.0039,4974
81.0000,8.1920,807,5,DSDV,25.0000,0.7982,0.0038,5040
82.0000,8.1920,823,5,DSDV,25.0000,0.7983,0.0038,5093
83.0000,6.1440,835,5,DSDV,25.0000,0.7945,0.0037,5152
84.0000,6.1440,847,5,DSDV,25.0000,0.7908,0.0037,5213
85.0000,6.1440,859,5,DSDV,25.0000,0.7874,0.0036,5274
86.0000,6.1440,871,5,DSDV,25.0000,0.7840,0.0036,5311
87.0000,6.1440,883,5,DSDV,25.0000,0.7807,0.0035,5345
88.0000,7.1680,897,5,DSDV,25.0000,0.7793,0.0035,5375
89.0000,8.1920,913,5,DSDV,25.0000,0.7797,0.0034,5402
90.0000,8.1920,929,5,DSDV,25.0000,0.7800,0.0034,5437
91.0000,8.1920,945,5,DSDV,25.0000,0.7803,0.0037,5798
92.0000,8.1920,961,5,DSDV,25.0000,0.7807,0.0037,5827
93.0000,8.1920,977,5,DSDV,25.0000,0.7810,0.0036,5870
94.0000,8.1920,993,5,DSDV,25.0000,0.7813,0.0036,5937
95.0000,8.1920,1009,5,DSDV,25.0000,0.7816,0.0035,6026
96.0000,8.1920,1025,5,DSDV,25.0000,0.7818,0.0035,6097
97.0000,8.1920,1041,5,DSDV,25.0000,0.7821,0.0035,6147
98.0000,9.2160,1059,5,DSDV,25.0000,0.7839,0.0034,6201
99.0000,10.2400,1079,5,DSDV,25.0000,0.7870,0.0034,6267
100.0000,10.2400,1099,5,DSDV,25.0000,0.7901,0.0033,6310
101.0000,10.2400,1119,5,DSDV,25.0000,0.7931,0.0033,6350
102.0000,10.2400,1139,5,DSDV,25.0000,0.7959,0.0032,6380
103.0000,10.2400,1159,5,DSDV,25.0000,0.7988,0.0032,6423
104.0000,10.2400,1179,5,DSDV,25.0000,0.8015,0.0031,6469
105.0000,10.2400,1199,5,DSDV,25.0000,0.8042,0.0031,6508
106.0000,8.1920,1215,5,DSDV,25.0000,0.8041,0.0033,6847
107.0000,8.1920,1231,5,DSDV,25.0000,0.8040,0.0032,6877
108.0000,9.2160,1249,5,DSDV,25.0000,0.8053,0.0032,6939
109.0000,10.2400,1269,5,DSDV,25.0000,0.8078,0.0032,7019
