Time,ThroughputKbps,PacketsReceived,Sinks,Protocol,TxPower,PDR,AvgDelay,RoutingOverhead
1.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,25
2.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,25
3.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,46
4.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,46
5.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,67
6.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,67
7.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,88
8.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,88
9.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,109
10.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,109
11.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,129
12.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,129
13.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,142
14.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,142
15.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,153
16.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,162
17.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,173
18.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,173
19.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,183
20.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,183
21.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,193
22.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,193
23.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,200
24.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,200
25.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,208
26.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,213
27.0000,0.0000,0,5,OLSR,25.0000,0.0000,0.0000,222
